FIPS,State_Name,County_Name,Tract_Name,Total_Population,Prison_Population,Percent_In_Prison,Prison_Name,Student_Population,Percent_Student,Universities,Nearby_Universities,Military_Population,Percent_In_Military,Military_Institutions,Native_American_Population,Percent_Native_American,Native_American_Reservations
39083007301,Ohio,Census Tract 73.01,Knox County,3447,0,0.00%,,1676,48.60%,Kenyon College,Kenyon College,0,0.00%,,0,0.00%,
39083007500,Ohio,Census Tract 75,Knox County,4331,0,0.00%,,912,21.00%,Mount Vernon Nazarene University,Mount Vernon Nazarene University; Kenyon College,0,0.00%,,0,0.00%,
39089757701,Ohio,Census Tract 7577.01,Licking County,3171,0,0.00%,,900,28.30%,Denison University,Denison University,0,0.00%,,0,0.00%,
39089757702,Ohio,Census Tract 7577.02,Licking County,4678,0,0.00%,,1280,27.30%,,Denison University,0,0.00%,,0,0.00%,
39093060200,Ohio,Census Tract 602,Lorain County,5116,0,0.00%,,2092,40.80%,Oberlin College,Oberlin College,0,0.00%,,0,0.00%,
39093091200,Ohio,Census Tract 912,Lorain County,3986,1421,35.60%,Lorain Correctional Institution,0,0.00%,,,0,0.00%,,0,0.00%,
39093095100,Ohio,Census Tract 951,Lorain County,7672,1905,24.80%,Grafton Reintegration Center,0,0.00%,,,0,0.00%,,0,0.00%,
39095001202,Ohio,Census Tract 12.02,Lucas County,2825,924,32.70%,,0,0.00%,,,0,0.00%,,0,0.00%,
39095002800,Ohio,Census Tract 28,Lucas County,1587,291,18.30%,Lucas County Juvenile Justice Center,0,0.00%,,,0,0.00%,,0,0.00%,
39095010400,Ohio,Census Tract 104,Lucas County,4112,0,0.00%,,3634,88.30%,University Of Toledo,University Of Toledo,0,0.00%,,0,0.00%,
39097041000,Ohio,Census Tract 410,Madison County,4828,4563,94.50%,London Correctional Institution,0,0.00%,,,0,0.00%,,0,0.00%,
39099800502,Ohio,Census Tract 8005.02,Mahoning County,959,940,98.00%,Northeast Ohio Correctional Center,0,0.00%,,,0,0.00%,,0,0.00%,
39099802100,Ohio,Census Tract 8021,Mahoning County,892,170,19.00%,,0,0.00%,,,0,0.00%,,0,0.00%,
39099804000,Ohio,Census Tract 8040,Mahoning County,2080,0,0.00%,,578,27.70%,,Youngstown State University,0,0.00%,,0,0.00%,
39099813700,Ohio,Census Tract 8137,Mahoning County,3506,1023,29.10%,Mahoning County Minimum Security Jail,0,0.00%,,Youngstown State University,0,0.00%,,0,0.00%,
39099814000,Ohio,Census Tract 8140,Mahoning County,2910,0,0.00%,,673,23.10%,Youngstown State University,Youngstown State University,0,0.00%,,0,0.00%,
39101010202,Ohio,Census Tract 102.02,Marion County,4975,4932,99.10%,North Central Correctional Complex,0,0.00%,,,0,0.00%,,0,0.00%,
39113003402,Ohio,Census Tract 34.02,Montgomery County,3683,0,0.00%,,2802,76.00%,,University Of Dayton,0,0.00%,,0,0.00%,
39113003403,Ohio,Census Tract 34.03,Montgomery County,3325,0,0.00%,,3096,93.10%,University Of Dayton,University Of Dayton,0,0.00%,,0,0.00%,
39113060300,Ohio,Census Tract 603,Montgomery County,3718,891,23.90%,Dayton Correctional Institution,0,0.00%,,,0,0.00%,,0,0.00%,
39121968402,Ohio,Census Tract 9684.02,Noble County,2990,2458,82.20%,Noble Correctional Institution,0,0.00%,,,0,0.00%,,0,0.00%,
